Id,CreationDate,AcceptedAnswerId,Score,ViewCount,Tags,AnswerCount,CommentCount,FavoriteCount
"65740","2020-01-02 16:17:29","65742","4","113","<logistic-regression>","1","0",""
"65745","2020-01-02 17:07:11","65748","2","78","<neural-network><normalization>","1","0",""
"65746","2020-01-02 17:19:49","65780","0","93","<machine-learning><python><multilabel-classification><natural-language-process>","1","1",""
"65747","2020-01-02 17:24:58","65772","2","465","<python><computer-vision><opencv>","1","0",""
"65751","2020-01-02 18:22:09","65779","3","74","<reinforcement-learning>","1","0",""
"65755","2020-01-02 19:52:41","","1","33","<lstm><rnn>","1","0",""
"65757","2020-01-02 20:09:21","","1","30","<search><definitions><regex><ngrams>","1","0",""
"65758","2020-01-02 20:45:37","","2","118","<machine-learning><deep-learning><keras><tensorflow>","0","0",""
"65761","2020-01-02 22:36:32","","2","71","<neural-network><tensorflow><time-series><lstm><rnn>","0","3",""
"65762","2020-01-02 22:53:02","65763","2","18","<neural-network><deep-learning><feature-engineering><embeddings><deep-network>","1","0",""
"65766","2020-01-03 04:45:10","","1","38","<ensemble-modeling>","1","0",""
"65767","2020-01-03 04:45:14","","1","165","<deep-learning><nlp><unsupervised-learning><similarity>","2","0","1"
"65769","2020-01-03 07:00:05","65771","4","2169","<machine-learning><deep-learning><data-mining><predictive-modeling><feature-selection>","1","3","3"
"65773","2020-01-03 07:52:19","","1","26","<visualization>","2","0",""
"65783","2020-01-03 09:54:04","","1","341","<computer-vision><pytorch><transfer-learning>","2","0",""
"65787","2020-01-03 10:45:41","65788","2","584","<machine-learning><deep-learning><data-mining><predictive-modeling><automl>","2","0","1"
"65791","2020-01-03 11:48:13","65801","2","80","<machine-learning><deep-learning><data-mining><predictive-modeling><feature-selection>","1","0",""
"65793","2020-01-03 12:30:55","","3","43","<machine-learning><deep-learning><classification><image-recognition>","1","2","2"
"65794","2020-01-03 12:37:36","","2","21","<r><distribution>","1","0",""
"65795","2020-01-03 12:39:53","","2","205","<python><data-science-model><lightgbm>","1","0",""
"65796","2020-01-03 12:57:38","","1","240","<text><opencv><ocr><image>","0","0",""
"65797","2020-01-03 13:16:19","","2","79","<python><gradient-descent><pytorch>","1","0",""
"65798","2020-01-03 13:35:43","","2","24","<image-classification>","0","0",""
"65802","2020-01-03 16:09:34","65895","3","293","<machine-learning><preprocessing><outlier>","1","0",""
"65803","2020-01-03 16:18:24","","2","72","<random-forest><overfitting><performance>","3","0",""
"65804","2020-01-03 16:42:37","66476","-1","346","<python><numpy><python-3.x>","1","4",""
"65805","2020-01-03 17:10:44","","1","42","<reinforcement-learning><weight-initialization>","0","0",""
"65806","2020-01-03 17:22:56","65810","2","34","<generative-models>","1","0",""
"65808","2020-01-03 17:38:09","","4","54","<machine-learning><neural-network><keras><cnn><algorithms>","1","0","1"
"65809","2020-01-03 17:47:57","","1","41","<clustering><gpu><dynamic-programming>","1","0",""
"65814","2020-01-03 19:09:22","65841","2","36","<categorical-data><encoding><categorical-encoding>","1","0",""
"65815","2020-01-03 19:27:14","65873","3","225","<regression><correlation>","2","2","1"
"65817","2020-01-03 19:42:01","","0","73","<neural-network><lstm>","0","1",""
"65819","2020-01-03 20:33:50","","2","25","<machine-learning><python><keras><tensorflow>","0","0",""
"65824","2020-01-03 22:55:51","65827","1","89","<r><time-series>","1","1",""
"65825","2020-01-03 23:14:30","","1","792","<python><nlp><pandas><python-3.x>","0","1",""
"65828","2020-01-04 04:39:55","65831","1","123","<neural-network><deep-learning><regularization>","2","0",""
"65830","2020-01-04 05:59:06","","4","33","<machine-learning-model><data-science-model>","3","0",""
"65832","2020-01-04 06:35:25","65842","2","205","<machine-learning><deep-learning><data-mining><predictive-modeling><statistics>","2","0",""
"65833","2020-01-04 06:46:34","","1","109","<pca><matrix-factorisation>","1","1",""
"65835","2020-01-04 08:46:59","65850","2","75","<machine-learning>","2","0",""
"65836","2020-01-04 09:11:14","65882","2","36","<neural-network><optimization><gradient-descent>","1","0",""
"65839","2020-01-04 10:38:34","","9","7503","<classification><accuracy><class-imbalance>","3","0","1"
"65854","2020-01-04 12:40:40","65870","2","104","<machine-learning><deep-learning><lstm>","1","0","1"
"65857","2020-01-04 13:35:19","65859","1","30","<neural-network><nlp><feature-engineering><word-embeddings>","1","0",""
"75409","2020-06-03 20:58:33","","0","28","<neural-network><tensorflow>","1","0",""
"75412","2020-06-03 21:38:14","","0","44","<dataset><data>","0","0",""
"75414","2020-06-03 21:51:14","","1","74","<neural-network><classification>","3","2",""
"75420","2020-06-03 23:41:13","","0","12","<machine-learning><data-mining><association-rules>","0","0",""
"75428","2020-06-04 03:30:43","","0","39","<lstm><rnn><forecasting>","0","0",""
"75429","2020-06-04 04:02:15","","0","7","<tableau>","0","0",""
"75430","2020-06-04 05:24:34","","0","11","<k-means>","0","0",""
"75431","2020-06-04 05:39:33","75437","0","15","<python><pandas><dataframe>","1","0",""
"75432","2020-06-04 06:11:18","","0","14","<k-means>","0","0",""
"75435","2020-06-04 07:58:18","","0","9","<deep-learning><keras><tensorflow>","0","0",""
"75436","2020-06-04 08:06:52","","0","30","<text><tfidf><text-classification><hashingvectorizer>","0","0",""
"75439","2020-06-04 08:33:44","75501","1","34","<feature-selection><pca><dimensionality-reduction><kernel><linearly-separable>","2","0",""
"75441","2020-06-04 08:57:49","","1","32","<machine-learning><python><text-mining><nltk><regex>","1","0",""
"75446","2020-06-04 09:34:46","75447","0","22","<machine-learning><python><scikit-learn><random-forest>","1","0",""
"75448","2020-06-04 09:50:30","","0","10","<python><distribution><bayesian>","0","0",""
"75449","2020-06-04 09:50:40","","0","66","<scikit-learn><pandas>","0","1",""
"75450","2020-06-04 10:06:03","","0","43","<r><regression><logistic-regression><geospatial><glm>","0","0",""
"75451","2020-06-04 10:07:02","","0","41","<lstm><rnn>","0","0",""
"75454","2020-06-04 11:50:42","76452","1","79","<neural-network><loss-function><multiclass-classification><optimization><categorical-data>","2","0",""
"75457","2020-06-04 12:20:27","75462","1","31","<python><pandas><sentiment-analysis><nltk>","1","1",""
"75458","2020-06-04 12:42:00","","0","14","<keras><lstm><machine-learning-model>","0","1",""
"75461","2020-06-04 14:34:17","","0","239","<deep-learning><keras><ensemble-modeling>","1","0",""
"75464","2020-06-04 15:48:06","","3","93","<classification><logistic-regression><model-selection>","4","2",""
"75466","2020-06-04 16:29:46","75471","1","151","<xgboost><hyperparameter-tuning><hyperparameter>","1","0",""
"75467","2020-06-04 17:25:03","","1","22","<deep-learning><keras><tensorflow>","1","0",""
"75474","2020-06-04 19:10:32","75492","1","28","<keras><regression>","1","0",""
"75480","2020-06-04 21:13:40","","0","92","<python><fuzzy-logic>","1","3",""
"75481","2020-06-04 21:53:45","","2","54","<regression><xgboost><loss-function>","2","3","1"
"75483","2020-06-04 22:31:42","75489","0","61","<reinforcement-learning><q-learning><dqn>","1","0",""
"75484","2020-06-04 22:53:06","","1","31","<machine-learning><feature-selection><feature-extraction><feature-construction>","1","0","1"
"75485","2020-06-05 00:00:23","","0","21","<python><visualization><graphs><matplotlib>","0","1",""
"75490","2020-06-05 05:33:39","","0","23","<python>","1","0",""
"75496","2020-06-05 09:16:05","75520","0","11","<python><r>","1","0",""
"75502","2020-06-05 10:35:05","","0","20","<machine-learning><time-series><lstm><autoencoder>","0","3",""
"75509","2020-06-05 11:44:14","","1","23","<deep-learning><cnn><bigdata>","2","0",""
"75514","2020-06-05 12:58:49","","1","28","<lstm>","2","0",""
"75518","2020-06-05 13:49:39","","1","35","<classification><nlp><preprocessing>","2","1",""
"75522","2020-06-05 14:11:23","","0","19","<machine-learning><python><logistic-regression><optimization>","0","3",""
"75523","2020-06-05 14:14:35","","2","434","<r><regex>","1","2",""
"75525","2020-06-05 14:34:26","","1","49","<machine-learning><probability><naive-bayes-classifier>","1","0","1"
"75527","2020-06-05 14:48:35","","3","141","<machine-learning><dataset><image-classification><loss-function><weighted-data>","1","0","2"
"75528","2020-06-05 15:16:36","","0","37","<machine-learning><deep-learning>","0","1",""
"75541","2020-06-05 19:38:00","","1","23","<machine-learning><regression><data-science-model>","1","0",""
"75544","2020-06-05 20:37:02","75564","1","42","<machine-learning><deep-learning><computer-vision><object-detection><theory>","1","0","1"
"75549","2020-06-06 00:18:47","","-1","31","<feature-selection><data><visualization>","2","0",""
"75554","2020-06-06 02:34:21","","1","62","<neural-network><deep-learning><time-series><recurrent-neural-net>","1","0",""
"75555","2020-06-06 04:09:21","","2","34","<machine-learning><cnn><image-classification><computer-vision><object-detection>","1","0",""
"75556","2020-06-06 04:44:54","","1","508","<python><pandas><dataframe>","1","0",""
"75559","2020-06-06 08:14:02","","1","64","<neural-network><gradient-descent><siamese-networks><one-shot-learning>","1","0",""
"75561","2020-06-06 08:55:45","","1","32","<machine-learning><classification><naive-bayes-classifier>","0","0",""
"75563","2020-06-06 09:59:10","","0","38","<machine-learning><neural-network><regression><autoencoder>","0","0",""
"75568","2020-06-06 12:20:34","75580","0","58","<python><clustering><k-means><pca><text-classification>","4","0",""
"75571","2020-06-06 13:32:45","","0","36","<deep-learning><unsupervised-learning><bert><data-augmentation><semi-supervised-learning>","1","0",""
"75572","2020-06-06 13:39:40","","0","14","<regression><decision-trees><xgboost><boosting>","0","0",""
"75585","2020-06-06 17:42:51","","0","7","<machine-learning><neural-network><keras><tensorflow><regression>","0","0",""
"75587","2020-06-06 18:34:38","75592","1","24","<neural-network><keras><tensorflow><loss-function>","1","0",""
"75593","2020-06-06 19:54:12","","4","147","<neural-network><deep-learning><mathematics>","2","0","1"
"75595","2020-06-06 20:46:28","75597","0","30","<python><pandas><data-cleaning><csv><excel>","1","0",""
"75598","2020-06-06 23:04:19","","0","10","<machine-learning><pytorch><metric><gaussian><multivariate-distribution>","0","0",""
"75599","2020-06-06 23:22:52","","1","37","<random-forest><causalimpact>","0","0",""
"75600","2020-06-06 23:25:44","","0","30","<machine-learning><deep-learning><optimization><gradient-descent>","0","0",""
"75603","2020-06-07 00:41:41","","0","19","<python><clustering><matplotlib><seaborn><dbscan>","0","2",""
"75605","2020-06-07 01:26:32","","0","9","<machine-learning><scikit-learn>","0","0",""
"75606","2020-06-07 01:54:55","","3","75","<linear-regression>","1","4",""
"75607","2020-06-07 02:11:42","","1","45","<class-imbalance><orange><auc><orange3>","0","0",""
"75608","2020-06-07 02:20:58","","0","14","<machine-learning><scikit-learn><pandas>","0","1",""
"75609","2020-06-07 04:04:40","75679","2","36","<linear-regression><data-analysis>","1","0",""
"75610","2020-06-07 04:06:17","","1","58","<neural-network><keras><recurrent-neural-net><theano>","0","2","1"
"75612","2020-06-07 09:30:14","","1","40","<machine-learning><feature-selection><random-forest>","0","0",""
"75613","2020-06-07 09:33:27","","0","44","<machine-learning><deep-learning><rnn><convnet><machine-learning-model>","1","0",""
"75615","2020-06-07 13:06:00","","1","65","<xgboost><cross-validation><class-imbalance><smote><auc>","2","2",""
"75616","2020-06-07 13:06:14","","1","72","<deep-learning>","1","1",""
"75617","2020-06-07 13:06:28","","0","27","<neural-network><gradient-descent><backpropagation>","1","0",""
"75618","2020-06-07 13:31:39","75621","1","46","<regression><feature-engineering><feature-scaling><data-analysis>","2","0",""
"75620","2020-06-07 14:27:12","","1","24","<machine-learning><data-analysis>","0","3",""
"75629","2020-06-07 18:29:52","","0","13","<machine-learning><feature-selection><feature-engineering><dimensionality-reduction>","0","0",""
"75631","2020-06-07 19:46:03","75638","0","22","<deep-learning><natural-language-process><bert>","1","0",""
"75632","2020-06-06 13:48:04","","0","6","<computer-vision><yolo>","0","3",""
"75635","2020-06-07 20:23:08","75637","1","20","<nlp>","1","0",""
"75640","2020-06-07 21:32:46","75706","1","21","<cnn><convnet><convolution>","1","4",""
"75643","2020-06-07 21:50:20","75644","1","32","<r><dataset><data><random-forest><dummy-variables>","1","1",""
"75648","2020-06-08 06:20:44","","1","94","<machine-learning><deep-learning><nlp><data-science-model><natural-language-process>","2","0",""
"75649","2020-06-08 06:45:10","","0","16","<deep-learning><multi-instance-learning>","1","0",""
"75652","2020-06-08 07:22:50","","1","129","<linear-regression><feature-engineering><supervised-learning>","1","0",""
"75655","2020-06-08 07:44:38","75676","2","23","<logistic-regression><svm><model-selection>","1","2",""
"75656","2020-06-08 07:52:31","","1","64","<machine-learning><natural-language-process><semantic-similarity>","3","0",""
"75657","2020-06-08 07:55:35","","0","44","<deep-learning><gpu>","1","1",""
"75659","2020-06-08 08:05:19","","1","42","<linear-regression>","1","0",""
"65864","2020-01-04 16:53:52","66674","8","214","<nlp><neural-style-transfer>","2","3","6"
"65865","2020-01-04 17:19:57","65869","2","52","<nlp>","3","2",""
"65872","2020-01-04 21:43:24","","0","48","<prediction>","2","1","0"
"65875","2020-01-04 22:05:58","","1","50","<r><cross-validation>","0","2","1"
"65878","2020-01-04 23:23:12","","1","26","<deep-learning><nlp><unsupervised-learning><semantic-similarity>","0","9",""
"65886","2020-01-05 04:04:36","","6","216","<classification><class-imbalance><binary>","3","0",""
"65888","2020-01-05 07:15:48","","0","32","<neural-network><deep-learning><image-classification>","1","0",""
"65896","2020-01-05 10:03:16","","1","40","<machine-learning><scikit-learn><decision-trees><learning><adaboost>","0","1",""
"65903","2020-01-05 13:27:38","","0","14","<classification><unsupervised-learning><supervised-learning><class-imbalance><unseen-data>","0","0",""
"65904","2020-01-05 13:33:30","","0","144","<classification><scikit-learn><class-imbalance><sampling><binary>","0","0",""
"65908","2020-01-05 14:23:26","","7","180","<machine-learning><neural-network><probability-calibration>","1","0","2"
"65909","2020-01-05 14:33:22","65910","1","44","<machine-learning><deep-learning><data-mining><predictive-modeling><machine-learning-model>","1","0",""
"65916","2020-01-05 18:57:38","","2","152","<statistics><labels>","1","0","1"
"65917","2020-01-05 19:22:58","","4","282","<python><pandas><decision-trees>","1","1",""
"65918","2020-01-05 20:57:15","","2","567","<siamese-networks><one-shot-learning>","2","1","1"
"65921","2020-01-05 21:30:54","","2","177","<tensorflow><gan><embeddings>","0","0",""
"65922","2020-01-05 22:15:41","65923","6","692","<machine-learning><statistics><decision-trees><supervised-learning><ensemble-modeling>","1","0","0"
"65925","2020-01-06 02:15:56","65928","1","73","<clustering><algorithms>","2","0",""
"65932","2020-01-06 03:55:37","","2","57","<algorithms><mathematics>","0","1",""
"65933","2020-01-06 04:42:29","","1","18","<scikit-learn><cnn><svm><class-imbalance>","0","0",""
"65934","2020-01-06 05:03:09","","0","279","<scikit-learn><cross-validation><training><class-imbalance><encoding>","1","1",""
"65936","2020-01-06 07:51:47","65940","0","96","<neural-network><cnn><object-detection><object-recognition><yolo>","1","0",""
"65942","2020-01-06 09:33:03","65943","1","194","<machine-learning><overfitting>","2","3","1"
"65945","2020-01-06 09:59:38","","1","3543","<cnn><rnn><object-detection><yolo>","3","0",""
"65947","2020-01-06 10:49:37","","0","32","<machine-learning><deep-learning><ocr><text-generation>","0","2","1"
"65948","2020-01-06 11:10:15","65953","0","98","<cnn><image-classification>","2","1","0"
"65950","2020-01-06 11:23:10","","0","29","<python><scikit-learn><pandas><feature-extraction><pipelines>","0","6",""
"65951","2020-01-06 11:30:17","65962","0","53","<python><deep-learning><convnet><pytorch><neural-style-transfer>","1","0",""
"65952","2020-01-06 11:40:37","65958","1","37","<machine-learning><deep-learning><predictive-modeling><statistics><feature-selection>","1","0",""
"65954","2020-01-06 11:54:31","","0","16","<deep-learning><keras><audio-recognition>","0","2",""
"65955","2020-01-06 12:33:22","","0","25","<pandas><dataframe><sequence>","0","1",""
"65956","2020-01-06 12:37:37","","4","1856","<xgboost><missing-data><lightgbm>","1","2",""
